"GO.ID","Term_full","Ontology","Annotated","Significant","Expected","PValue","Gene_IDs","Gene_symbols","Algorithm","PValue_FDR"
"GO:0021872",NA,"BP",13,1,0.07,0.0723276829698203,"ENSCHAG00000009573","fzd8a","classic",1
"GO:0021879","forebrain neuron differentiation","BP",13,1,0.07,0.0723276829698203,"ENSCHAG00000009573","fzd8a","classic",1
"GO:0048512","circadian behavior","BP",13,1,0.07,0.0723276829698203,"ENSCHAG00000012664","nr1d1","classic",1
"GO:0071910","determination of liver left/right asymmetry","BP",13,1,0.07,0.0723276829698203,"ENSCHAG00000004711","gpr22a","classic",1
"GO:0007049",NA,"BP",276,4,1.59,0.0743586317152462,"ENSCHAG00000000936, ENSCHAG00000001076, ENSCHAG00000012653, ENSCHAG00000022129","zmp:0000000711, foxm1, si:dkey-225f5.4, gadd45ab","classic",1
"GO:0009156","ribonucleoside monophosphate biosynthetic process","BP",14,1,0.08,0.077672888098907,"ENSCHAG00000021596","pfas","classic",1
"GO:0009161",NA,"BP",14,1,0.08,0.077672888098907,"ENSCHAG00000021596","pfas","classic",1
"GO:0050795","regulation of behavior","BP",14,1,0.08,0.077672888098907,"ENSCHAG00000012664","nr1d1","classic",1
"GO:0051016","barbed-end actin filament capping","BP",14,1,0.08,0.077672888098907,"ENSCHAG00000021706","scinla","classic",1
"GO:0006793",NA,"BP",1194,11,6.87,0.077755245059262,"ENSCHAG00000001576, ENSCHAG00000002578, ENSCHAG00000003478, ENSCHAG00000007917, ENSCHAG00000008000, ENSCHAG00000008180, ENSCHAG00000012097, ENSCHAG00000015954, ENSCHAG00000019366, ENSCHAG00000021596, ENSCHAG00000023174","pdgfra, gmpr, DYRK4, PRKAR2B, pik3cg, si:dkey-145c18.3, atp5mc1, ENSCHAG00000015954, EPHB3, pfas, ptprfa","classic",1
"GO:0006796","phosphate-containing compound metabolic process","BP",1194,11,6.87,0.077755245059262,"ENSCHAG00000001576, ENSCHAG00000002578, ENSCHAG00000003478, ENSCHAG00000007917, ENSCHAG00000008000, ENSCHAG00000008180, ENSCHAG00000012097, ENSCHAG00000015954, ENSCHAG00000019366, ENSCHAG00000021596, ENSCHAG00000023174","pdgfra, gmpr, DYRK4, PRKAR2B, pik3cg, si:dkey-145c18.3, atp5mc1, ENSCHAG00000015954, EPHB3, pfas, ptprfa","classic",1
"GO:0019637",NA,"BP",398,5,2.29,0.0786224572425396,"ENSCHAG00000002578, ENSCHAG00000008000, ENSCHAG00000008180, ENSCHAG00000012097, ENSCHAG00000021596","gmpr, pik3cg, si:dkey-145c18.3, atp5mc1, pfas","classic",1
"GO:0000077","DNA damage checkpoint signaling","BP",15,1,0.09,0.0829877514770249,"ENSCHAG00000000936","zmp:0000000711","classic",1
"GO:0003140","determination of left/right asymmetry in lateral mesoderm","BP",15,1,0.09,0.0829877514770249,"ENSCHAG00000004711","gpr22a","classic",1
"GO:0060788","ectodermal placode formation","BP",15,1,0.09,0.0829877514770249,"ENSCHAG00000009573","fzd8a","classic",1
"GO:0006754",NA,"BP",16,1,0.09,0.0882724427423819,"ENSCHAG00000012097","atp5mc1","classic",1
"GO:0009124",NA,"BP",16,1,0.09,0.0882724427423819,"ENSCHAG00000021596","pfas","classic",1
"GO:0015986","proton motive force-driven ATP synthesis","BP",16,1,0.09,0.0882724427423819,"ENSCHAG00000012097","atp5mc1","classic",1
"GO:0048015","phosphatidylinositol-mediated signaling","BP",16,1,0.09,0.0882724427423819,"ENSCHAG00000008000","pik3cg","classic",1
"GO:0048368","lateral mesoderm development","BP",16,1,0.09,0.0882724427423819,"ENSCHAG00000004711","gpr22a","classic",1
"GO:0072525",NA,"BP",16,1,0.09,0.0882724427423819,"ENSCHAG00000008180","si:dkey-145c18.3","classic",1
"GO:0022402",NA,"BP",187,3,1.08,0.0928325945586221,"ENSCHAG00000000936, ENSCHAG00000001076, ENSCHAG00000012653","zmp:0000000711, foxm1, si:dkey-225f5.4","classic",1
"GO:0009123",NA,"BP",17,1,0.1,0.0935271305992648,"ENSCHAG00000021596","pfas","classic",1
"GO:0031570",NA,"BP",17,1,0.1,0.0935271305992648,"ENSCHAG00000000936","zmp:0000000711","classic",1
"GO:0033014","tetrapyrrole biosynthetic process","BP",17,1,0.1,0.0935271305992648,"ENSCHAG00000000436","cpox","classic",1
"GO:0009611","response to wounding","BP",92,2,0.53,0.0982626114913735,"ENSCHAG00000003517, ENSCHAG00000003862","F13A1, ENSCHAG00000003862","classic",1
"GO:0030593","neutrophil chemotaxis","BP",18,1,0.1,0.0987519828230988,"ENSCHAG00000008000","pik3cg","classic",1
"GO:0071697",NA,"BP",18,1,0.1,0.0987519828230988,"ENSCHAG00000009573","fzd8a","classic",1
"GO:0034654",NA,"BP",1697,14,9.77,0.101105476344965,"ENSCHAG00000001076, ENSCHAG00000001217, ENSCHAG00000001249, ENSCHAG00000003500, ENSCHAG00000004743, ENSCHAG00000006655, ENSCHAG00000008180, ENSCHAG00000012097, ENSCHAG00000012664, ENSCHAG00000012759, ENSCHAG00000021529, ENSCHAG00000021596, ENSCHAG00000022113, ENSCHAG00000027469","foxm1, gsx2, ENSCHAG00000001249, thrb, dus4l, ENSCHAG00000006655, si:dkey-145c18.3, atp5mc1, nr1d1, casc3, magoh, pfas, dr1, rorca","classic",1
"GO:1903047",NA,"BP",94,2,0.54,0.101871925571197,"ENSCHAG00000001076, ENSCHAG00000012653","foxm1, si:dkey-225f5.4","classic",1
"GO:0009615","response to virus","BP",19,1,0.11,0.103947166265485,"ENSCHAG00000003470","ly86","classic",1
"GO:0031667",NA,"BP",19,1,0.11,0.103947166265485,"ENSCHAG00000013260","cd36","classic",1
"GO:0042770",NA,"BP",19,1,0.11,0.103947166265485,"ENSCHAG00000000936","zmp:0000000711","classic",1
"GO:0071621",NA,"BP",19,1,0.11,0.103947166265485,"ENSCHAG00000008000","pik3cg","classic",1
"GO:0006950",NA,"BP",569,6,3.27,0.108335619051593,"ENSCHAG00000000936, ENSCHAG00000003415, ENSCHAG00000003470, ENSCHAG00000003517, ENSCHAG00000003862, ENSCHAG00000013260","zmp:0000000711, RAD51AP1, ly86, F13A1, ENSCHAG00000003862, cd36","classic",1
"GO:0006778","porphyrin-containing compound metabolic process","BP",20,1,0.12,0.109112846859205,"ENSCHAG00000000436","cpox","classic",1
"GO:0007093","mitotic cell cycle checkpoint signaling","BP",20,1,0.12,0.109112846859205,"ENSCHAG00000012653","si:dkey-225f5.4","classic",1
"GO:0042391","regulation of membrane potential","BP",20,1,0.12,0.109112846859205,"ENSCHAG00000001285","atp1b1a","classic",1
"GO:0009150",NA,"BP",98,2,0.56,0.109199200163081,"ENSCHAG00000012097, ENSCHAG00000021596","atp5mc1, pfas","classic",1
"GO:0051693","actin filament capping","BP",21,1,0.12,0.114249189623204,"ENSCHAG00000021706","scinla","classic",1
"GO:1990266","neutrophil migration","BP",21,1,0.12,0.114249189623204,"ENSCHAG00000008000","pik3cg","classic",1
"GO:0009259",NA,"BP",102,2,0.59,0.1166628896104,"ENSCHAG00000012097, ENSCHAG00000021596","atp5mc1, pfas","classic",1
"GO:0019693",NA,"BP",102,2,0.59,0.1166628896104,"ENSCHAG00000012097, ENSCHAG00000021596","atp5mc1, pfas","classic",1
"GO:0098542",NA,"BP",103,2,0.59,0.118548969269481,"ENSCHAG00000003470, ENSCHAG00000013260","ly86, cd36","classic",1
"GO:0039021","pronephric glomerulus development","BP",22,1,0.13,0.119356358667544,"ENSCHAG00000013742","magi2a","classic",1
"GO:0097530",NA,"BP",22,1,0.13,0.119356358667544,"ENSCHAG00000008000","pik3cg","classic",1
"GO:0170034",NA,"BP",22,1,0.13,0.119356358667544,"ENSCHAG00000022196","glula","classic",1
"GO:0009058","biosynthetic process","BP",2687,20,15.47,0.121847386222898,"ENSCHAG00000000436, ENSCHAG00000001076, ENSCHAG00000001217, ENSCHAG00000001249, ENSCHAG00000003500, ENSCHAG00000003517, ENSCHAG00000003862, ENSCHAG00000004743, ENSCHAG00000006655, ENSCHAG00000008000, ENSCHAG00000008180, ENSCHAG00000012097, ENSCHAG00000012664, ENSCHAG00000012759, ENSCHAG00000021529, ENSCHAG00000021596, ENSCHAG00000022110, ENSCHAG00000022113, ENSCHAG00000022196, ENSCHAG00000027469","cpox, foxm1, gsx2, ENSCHAG00000001249, thrb, F13A1, ENSCHAG00000003862, dus4l, ENSCHAG00000006655, pik3cg, si:dkey-145c18.3, atp5mc1, nr1d1, casc3, magoh, pfas, RDH8, dr1, glula, rorca","classic",1
"GO:0090150","establishment of protein localization to membrane","BP",23,1,0.13,0.124434517198337,"ENSCHAG00000003243","pex26","classic",1
"GO:0050896",NA,"BP",3188,23,18.35,0.128010500115811,"ENSCHAG00000000936, ENSCHAG00000001576, ENSCHAG00000003415, ENSCHAG00000003470, ENSCHAG00000003517, ENSCHAG00000003862, ENSCHAG00000004711, ENSCHAG00000005408, ENSCHAG00000008000, ENSCHAG00000009573, ENSCHAG00000009593, ENSCHAG00000009841, ENSCHAG00000010108, ENSCHAG00000011503, ENSCHAG00000012653, ENSCHAG00000012776, ENSCHAG00000013260, ENSCHAG00000013538, ENSCHAG00000013742, ENSCHAG00000019366, ENSCHAG00000022120, ENSCHAG00000025006, ENSCHAG00000027494","zmp:0000000711, pdgfra, RAD51AP1, ly86, F13A1, ENSCHAG00000003862, gpr22a, pde3a, pik3cg, fzd8a, ENSCHAG00000009593, grm8a, fnbp1l, depdc1a, si:dkey-225f5.4, rapgefl1, cd36, ENSCHAG00000013538, magi2a, EPHB3, GNG12, spata18, fsd1","classic",1
