"Ontology","GO.ID","Term_full","P_weight01","Significant","Annotated","Expected","Gene_symbols","P_classic","FDR_classic"
"BP","GO:0000122",NA,NA,NA,NA,NA,NA,0.144460278943562,1
"BP","GO:0009142",NA,NA,NA,NA,NA,NA,0.144460278943562,1
"BP","GO:0170038",NA,NA,NA,NA,NA,NA,0.144460278943562,1
"BP","GO:0006511",NA,NA,NA,NA,NA,NA,0.145703470501446,1
"BP","GO:0019941",NA,NA,NA,NA,NA,NA,0.145703470501446,1
"BP","GO:0043632",NA,NA,NA,NA,NA,NA,0.145703470501446,1
"BP","GO:0050794",NA,NA,NA,NA,NA,NA,0.145878746506101,1
"BP","GO:0006888",NA,NA,NA,NA,NA,NA,0.149395801701508,1
"BP","GO:0030595",NA,NA,NA,NA,NA,NA,0.149395801701508,1
"BP","GO:0048709",NA,NA,NA,NA,NA,NA,0.149395801701508,1
"BP","GO:0097529",NA,NA,NA,NA,NA,NA,0.149395801701508,1
"BP","GO:1901879",NA,NA,NA,NA,NA,NA,0.149395801701508,1
"BP","GO:0006470",NA,NA,NA,NA,NA,NA,0.151683062235524,1
"BP","GO:0030837",NA,NA,NA,NA,NA,NA,0.154303274472196,1
"BP","GO:0031333",NA,NA,NA,NA,NA,NA,0.154303274472196,1
"BP","GO:0032272",NA,NA,NA,NA,NA,NA,0.154303274472196,1
"BP","GO:0044772",NA,NA,NA,NA,NA,NA,0.154303274472196,1
"BP","GO:1901607",NA,NA,NA,NA,NA,NA,0.154303274472196,1
"BP","GO:0039019",NA,NA,NA,NA,NA,NA,0.159182854269851,1
"BP","GO:0042445",NA,NA,NA,NA,NA,NA,0.159182854269851,1
"BP","GO:0060326",NA,NA,NA,NA,NA,NA,0.159182854269851,1
"BP","GO:0036211",NA,NA,NA,NA,NA,NA,0.160814586791679,1
"BP","GO:0050789",NA,NA,NA,NA,NA,NA,0.163719272502559,1
"BP","GO:0006874",NA,NA,NA,NA,NA,NA,0.164034697243231,1
"BP","GO:0007163",NA,NA,NA,NA,NA,NA,0.164034697243231,1
"BP","GO:0021515",NA,NA,NA,NA,NA,NA,0.164034697243231,1
"BP","GO:0045930",NA,NA,NA,NA,NA,NA,0.164034697243231,1
"BP","GO:0048483",NA,NA,NA,NA,NA,NA,0.168858958680329,1
"BP","GO:0072657",NA,NA,NA,NA,NA,NA,0.168858958680329,1
"BP","GO:0051604",NA,NA,NA,NA,NA,NA,0.171948989848256,1
"BP","GO:0023052",NA,NA,NA,NA,NA,NA,0.173163610763663,1
"BP","GO:0030042",NA,NA,NA,NA,NA,NA,0.173655793013037,1
"BP","GO:0045010",NA,NA,NA,NA,NA,NA,0.173655793013037,1
"BP","GO:0000278",NA,NA,NA,NA,NA,NA,0.174000734572865,1
"BP","GO:0007188",NA,NA,NA,NA,NA,NA,0.178425353821801,1
"BP","GO:0048596",NA,NA,NA,NA,NA,NA,0.178425353821801,1
"BP","GO:0051716",NA,NA,NA,NA,NA,NA,0.178445187191597,1
"BP","GO:0008652",NA,NA,NA,NA,NA,NA,0.183167793840233,1
"BP","GO:0043244",NA,NA,NA,NA,NA,NA,0.183167793840233,1
"BP","GO:0044281",NA,NA,NA,NA,NA,NA,0.186946513951198,1
"BP","GO:0050900",NA,NA,NA,NA,NA,NA,0.187883264959715,1
"BP","GO:0051261",NA,NA,NA,NA,NA,NA,0.187883264959715,1
"BP","GO:1902600",NA,NA,NA,NA,NA,NA,0.187883264959715,1
"BP","GO:0051603",NA,NA,NA,NA,NA,NA,0.18847169711703,1
"BP","GO:0042742",NA,NA,NA,NA,NA,NA,0.192571918233967,1
"BP","GO:0048048",NA,NA,NA,NA,NA,NA,0.192571918233967,1
"BP","GO:1902904",NA,NA,NA,NA,NA,NA,0.192571918233967,1
"BP","GO:0051494",NA,NA,NA,NA,NA,NA,0.197233903883599,1
"BP","GO:0007154",NA,NA,NA,NA,NA,NA,0.199076692098931,1
"BP","GO:0007156",NA,NA,NA,NA,NA,NA,0.201007170965302,1
"BP","GO:0043207",NA,NA,NA,NA,NA,NA,0.201007170965302,1
"BP","GO:0051707",NA,NA,NA,NA,NA,NA,0.201007170965302,1
"BP","GO:0031076",NA,NA,NA,NA,NA,NA,0.201869371300629,1
"BP","GO:0032835",NA,NA,NA,NA,NA,NA,0.201869371300629,1
"BP","GO:0009607",NA,NA,NA,NA,NA,NA,0.2031065438165,1
"BP","GO:0043412",NA,NA,NA,NA,NA,NA,0.203663404418117,1
"BP","GO:0006139",NA,NA,NA,NA,NA,NA,0.206163682448248,1
"BP","GO:0051650",NA,NA,NA,NA,NA,NA,0.206478469052987,1
"BP","GO:0007492",NA,NA,NA,NA,NA,NA,0.211061344888988,1
"BP","GO:0007623",NA,NA,NA,NA,NA,NA,0.211061344888988,1
"BP","GO:0021510",NA,NA,NA,NA,NA,NA,0.211061344888988,1
"BP","GO:0055074",NA,NA,NA,NA,NA,NA,0.211061344888988,1
"BP","GO:0051648",NA,NA,NA,NA,NA,NA,0.215618145741784,1
"BP","GO:0051668",NA,NA,NA,NA,NA,NA,0.215618145741784,1
"BP","GO:0098742",NA,NA,NA,NA,NA,NA,0.215754545365396,1
"BP","GO:0007169",NA,NA,NA,NA,NA,NA,0.219987982856138,1
"BP","GO:0044419",NA,NA,NA,NA,NA,NA,0.219987982856138,1
"BP","GO:0006661",NA,NA,NA,NA,NA,NA,0.220149017733792,1
"BP","GO:0030833",NA,NA,NA,NA,NA,NA,0.220149017733792,1
"BP","GO:0032271",NA,NA,NA,NA,NA,NA,0.220149017733792,1
"BP","GO:0048511",NA,NA,NA,NA,NA,NA,0.220149017733792,1
"BP","GO:0016311",NA,NA,NA,NA,NA,NA,0.22210755403159,1
"BP","GO:0001932",NA,NA,NA,NA,NA,NA,0.224654106181096,1
"BP","GO:0043254",NA,NA,NA,NA,NA,NA,0.224654106181096,1
"BP","GO:0008202",NA,NA,NA,NA,NA,NA,0.22913355559783,1
"BP","GO:0007005",NA,NA,NA,NA,NA,NA,0.233587509700534,1
"BP","GO:0008064",NA,NA,NA,NA,NA,NA,0.238016111412484,1
"BP","GO:0010817",NA,NA,NA,NA,NA,NA,0.238016111412484,1
"BP","GO:0030832",NA,NA,NA,NA,NA,NA,0.238016111412484,1
"BP","GO:0070121",NA,NA,NA,NA,NA,NA,0.238016111412484,1
"BP","GO:0006814",NA,NA,NA,NA,NA,NA,0.24241950286801,1
"BP","GO:0006936",NA,NA,NA,NA,NA,NA,0.246797825416775,1
"BP","GO:0010001",NA,NA,NA,NA,NA,NA,0.246797825416775,1
"BP","GO:0030041",NA,NA,NA,NA,NA,NA,0.246797825416775,1
"BP","GO:0035556",NA,NA,NA,NA,NA,NA,0.250577455772928,1
"BP","GO:0042325",NA,NA,NA,NA,NA,NA,0.251151219628049,1
"BP","GO:0098662",NA,NA,NA,NA,NA,NA,0.251929309590598,1
"BP","GO:0072006",NA,NA,NA,NA,NA,NA,0.255479825294939,1
"BP","GO:0010639",NA,NA,NA,NA,NA,NA,0.259783781438617,1
"BP","GO:0019362",NA,NA,NA,NA,NA,NA,0.259783781438617,1
"BP","GO:0042063",NA,NA,NA,NA,NA,NA,0.259783781438617,1
"BP","GO:0046474",NA,NA,NA,NA,NA,NA,0.259783781438617,1
