name_in_vcf	id	order_in_vcf	sampling_location	region	latitude	longitude	collection_season	species	order_in_admixture	correct_label	correct_label_2	bars_plot	color	order_in_admixture_bars
i_Lab_3	15F2J603_Canada_Atlantic_Autumn	102	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	37	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	37
i_Lab_2	15F2J606_Canada_Atlantic_Autumn	101	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	36	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	36
i_Lab_4	15F2J616_Canada_Atlantic_Autumn	103	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	38	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	38
i_NDBf_3	15F3K601_Canada_Atlantic_Autumn	112	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	47	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	47
i_NDBf_4	15F3K602_Canada_Atlantic_Autumn	113	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	48	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	48
i_NDBf_1	15F3K609_Canada_Atlantic_Autumn	110	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	45	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	45
i_NDBf_2	15F3K621_Canada_Atlantic_Autumn	111	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	46	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	46
i_ScB_1	15F4XRsb625_Canada_Atlantic_Autumn	122	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	49	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	49
i_ScB_2	15F4XRsb626_Canada_Atlantic_Autumn	123	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	50	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	50
i_M514_1	15F5Y514-617_Canada_Atlantic_Autumn	104	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	39	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	39
i_M514_2	15F5Y514-620_Canada_Atlantic_Autumn	105	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	40	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	40
i_NDBs_1	15S3K404_Canada_Atlantic_Spring	114	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	65	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	67
i_NDBs_3	15S3K410_Canada_Atlantic_Spring	116	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	67	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	69
